Start Log	Run: 66	Date: 5/11/2024   Time: 3:22:32
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
5, -0.6, 0.63, 5982215.57, 
10, 0, 0.68, 5982215.56, 
15.047, -0.5, 1.77, 5982215.48, 
20, -0.7, 0.85, 5982215.49, 
25, 0.4, 1.55, 5982215.47, 
30.031, -0.7, 3.16, 5982215.28, 
35.031, 2.7, 4.56, 5982215.18, 
40.047, 0.3, 3.94, 5982215.33, 
45.063, 4.5, 6.02, 5982214.8, 
50.078, 0.2, 10.5, 5982214.75, 
55.078, 0, 11.4, 5982214.68, 
60.235, -0.3, 10.07, 5982214.8, 
65.125, 0.2, 11.86, 5982214.66, 
70.11, 4.9, 15.23, 5982214.08, 
75.328, 1.2, 20.13, 5982213.96, 
80.141, 0, 20.41, 5982213.94, 
85.156, 0.7, 19.56, 5982214.02, 
90.235, 1, 29.63, 5982213.18, 
95.156, 0.5, 31.47, 5982213.02, 
100.156, 0, 32.03, 5982213.06, 
105.172, 0.3, 34.56, 5982212.83, 
110.203, -0.2, 34.97, 5982212.78, 
115.156, -0.4, 34.9, 5982212.8, 
120.172, 0.2, 35.62, 5982212.69, 
125.188, 0.3, 35.79, 5982212.72, 
130.156, 0.2, 37.42, 5982212.57, 
135.156, -0.6, 39.22, 5982212.38, 
140.219, 1, 40.69, 5982212.31, 
145.172, -4.9, 36.62, 5982212.62, 
150.172, 0.4, 38.38, 5982212.41, 
155.203, -0.3, 39.25, 5982212.41, 
160.219, 0.2, 39.32, 5982212.41, 
165.203, 0.7, 40.34, 5982212.32, 
170.203, 0.7, 40.84, 5982212.27, 
175.25, 0.2, 42.52, 5982212.13, 
180.203, -0.1, 42.72, 5982212.17, 
185.219, -0.2, 43.43, 5982212.11, 
190.203, 0, 43.06, 5982212.09, 
195.203, -0.4, 43.71, 5982212.1, 
200.203, 0.2, 43.86, 5982212.05, 
205.25, -0.4, 43.93, 5982212.08, 
210.203, 1, 44.47, 5982212, 
215.266, 0.2, 45.34, 5982211.95, 
220.203, 0.4, 45.96, 5982211.86, 
225.235, 0, 46.95, 5982211.79, 
230.203, 0.6, 47.8, 5982211.75, 
235.219, 0, 49, 5982211.61, 
240.235, 0.3, 50.06, 5982211.55, 
245.25, -0.5, 51.48, 5982211.42, 
250.266, 0.2, 52.7, 5982211.31, 
255.297, 0, 54.3, 5982211.22, 
260.313, 0.3, 55.68, 5982211.1, 
265.281, 0.2, 57.27, 5982210.91, 
270.297, 0.1, 58.94, 5982210.82, 
275.313, 0, 60.31, 5982210.71, 
280.344, 0.1, 62, 5982210.58, 
285.313, 1, 63.7, 5982210.45, 
290.344, 0.5, 65.32, 5982210.27, 
295.328, 0.7, 67.06, 5982210.16, 
300.344, 0.1, 69.04, 5982209.99, 
305.375, 0.5, 71.13, 5982209.84, 
310.344, 0.8, 73.3, 5982209.64, 
315.344, 0.9, 75.51, 5982209.45, 
320.406, 0.7, 78.02, 5982209.28, 
325.36, 0, 79.97, 5982209.1, 
330.375, 0.2, 82.15, 5982208.9, 
335.391, 0.7, 84.71, 5982208.74, 
340.422, 0.7, 87.22, 5982208.55, 
345.406, 0.9, 89.63, 5982208.29, 
350.453, 1.2, 92.44, 5982208.12, 
355.406, 0.5, 95.17, 5982207.87, 
360.422, 0.7, 97.73, 5982207.66, 
365.406, 0.7, 100.52, 5982207.43, 
370.438, 0.2, 103.37, 5982207.18, 
375.422, 0.8, 106.23, 5982207.01, 
380.438, 0.4, 109.24, 5982206.74, 
385.469, 0.4, 112.22, 5982206.5, 
390.5, 0.7, 115.19, 5982206.24, 
395.516, 0.9, 118.35, 5982206, 
400.485, 0.7, 121.34, 5982205.73, 
405.5, 0.8, 124.68, 5982205.43, 
410.563, 0.4, 128.04, 5982205.23, 
415.516, 0.9, 131.29, 5982204.96, 
420.531, 0.6, 134.58, 5982204.64, 
425.578, 0.8, 138.02, 5982204.4, 
430.531, 0.4, 141.62, 5982204.1, 
435.547, 0.7, 145.07, 5982203.81, 
440.563, 0.4, 148.63, 5982203.51, 
445.578, 1.2, 152.37, 5982203.26, 
450.625, 0.4, 155.66, 5982202.95, 
455.578, 0.9, 159.11, 5982202.69, 
460.594, 1.2, 162.75, 5982202.38, 
465.61, 0.7, 166.36, 5982202.09, 
470.656, 0.9, 169.74, 5982201.8, 
475.641, -0.3, 161.73, 5982202.44, 
480.656, 0.8, 165.29, 5982202.16, 
485.672, 0.6, 168.73, 5982201.92, 
490.703, 1.1, 172.25, 5982201.65, 
495.672, 0.5, 175.77, 5982201.31, 
500.688, 0.7, 179.28, 5982201.04, 
505.703, 0.8, 182.48, 5982200.81, 
510.672, 0.9, 186, 5982200.54, 
515.688, 0.8, 188.97, 5982200.24, 
520.719, 1.5, 192.69, 5982200.01, 
525.688, 0.7, 196.02, 5982199.69, 
530.735, 0, 199.46, 5982199.42, 
535.766, 0, 203.21, 5982199.13, 
540.703, 1, 206.69, 5982198.85, 
545.719, 0.9, 210.29, 5982198.56, 
550.703, 0.9, 213.98, 5982198.28, 
555.719, 0.2, 217.82, 5982197.94, 
560.735, 0.7, 221.31, 5982197.67, 
565.797, 0.7, 224.86, 5982197.36, 
570.766, 0.7, 228.52, 5982197.06, 
575.781, 0.4, 232.09, 5982196.77, 
580.766, 0.9, 235.98, 5982196.49, 
585.781, 0.2, 239.7, 5982196.16, 
590.797, 0.9, 243.46, 5982195.84, 
595.828, 0.7, 246.83, 5982195.57, 
600.781, 0.4, 251, 5982195.25, 
605.797, 1.5, 254.47, 5982194.94, 
610.813, 0.7, 258.5, 5982194.64, 
615.86, 0.2, 262.35, 5982194.38, 
620.828, 0.7, 266.2, 5982193.99, 
625.828, 0.8, 270.01, 5982193.72, 
630.86, 0.9, 274.04, 5982193.36, 
635.844, 0.7, 277.67, 5982193.05, 
640.844, 0.9, 281.74, 5982192.77, 
645.86, 1.3, 285.68, 5982192.42, 
650.891, 0.7, 289.4, 5982192.12, 
655.922, 0.7, 293.86, 5982191.73, 
660.906, 1.3, 297.79, 5982191.44, 
665.938, 1.4, 301.59, 5982191.13, 
670.891, 0.4, 305.61, 5982190.83, 
675.922, 1.1, 309.38, 5982190.51, 
680.891, 0.2, 313.3, 5982190.22, 
685.891, 0.8, 317.12, 5982189.87, 
690.906, 0.7, 321.07, 5982189.57, 
695.953, 0.8, 324.84, 5982189.26, 
700.906, 0.7, 328.66, 5982188.96, 
705.906, 0.5, 332.47, 5982188.67, 
710.953, 0.9, 336.18, 5982188.33, 
715.906, 0.9, 340.05, 5982188.02, 
720.922, 1.1, 343.94, 5982187.71, 
725.906, 1.2, 347.7, 5982187.43, 
730.906, 0.1, 351.45, 5982187.12, 
735.906, 1.8, 355.19, 5982186.82, 
740.922, 0.9, 359.15, 5982186.5, 
745.922, 0.6, 362.83, 5982186.17, 
750.953, 1.1, 366.85, 5982185.85, 
755.985, 0.9, 370.78, 5982185.59, 
760.953, 1.2, 374.34, 5982185.25, 
765.985, 0.4, 378.4, 5982184.92, 
771, 0.5, 382.38, 5982184.67, 
776.047, 1.1, 386.11, 5982184.29, 
781, 0.5, 389.83, 5982184.01, 
786.016, 0.3, 393.88, 5982183.72, 
791.063, 1.3, 397.58, 5982183.34, 
796.078, 0.6, 401.6, 5982183.07, 
801.031, 0.3, 405.27, 5982182.77, 
806.031, 1.1, 408.98, 5982182.41, 
811.078, 1.2, 412.81, 5982182.16, 
816.094, 0.7, 416.52, 5982181.86, 
821.063, 0.5, 420.1, 5982181.6, 
826.078, 1.1, 423.96, 5982181.25, 
831.11, 0.4, 427.4, 5982180.97, 
836.141, 0.7, 431.08, 5982180.71, 
841.094, 0.5, 434.75, 5982180.37, 
846.125, 1.1, 438.23, 5982180.11, 
851.094, 1, 441.8, 5982179.86, 
856.11, -0.3, 444.68, 5982179.6, 
861.125, 0.9, 448.14, 5982179.32, 
866.188, 0.7, 451.65, 5982178.98, 
871.141, 0.2, 455.04, 5982178.74, 
876.156, 1.2, 458.61, 5982178.45, 
881.172, 1.2, 462.2, 5982178.16, 
886.203, 0.5, 465.5, 5982177.9, 
891.172, 0.5, 469.01, 5982177.61, 
896.188, 1, 472.84, 5982177.29, 
901.203, 1.6, 476.28, 5982176.98, 
