Start Log	Run: 62	Date: 4/23/2024   Time: 8:03:14
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
5.031, 0, 0.18, 5982232.82, 
10.078, 0.4, 0.37, 5982232.82, 
15.015, 0.4, 0.6, 5982232.83, 
20.031, -0.1, 1.1, 5982232.76, 
25.047, 0, 1.39, 5982232.74, 
30.015, 0.7, 1.64, 5982232.72, 
35.015, 0.5, 1.41, 5982232.74, 
40.031, 0, 1.59, 5982232.72, 
45.078, -0.2, 1.79, 5982232.72, 
50.062, 0.2, 1.91, 5982232.72, 
55.093, -0.2, 1.88, 5982232.74, 
60.203, 0.1, 2.17, 5982232.7, 
65.078, 0.2, 1.92, 5982232.75, 
70.093, 0.2, 1.99, 5982232.67, 
75.156, -0.2, 1.73, 5982232.73, 
80.156, 0.1, 1.89, 5982232.72, 
85.109, -0.7, 1.62, 5982232.73, 
90.125, -0.2, 1.6, 5982232.68, 
95.14, 0.4, 1.51, 5982232.71, 
100.187, 0.3, 1.48, 5982232.77, 
105.14, 0.2, 1.54, 5982232.71, 
110.156, 0.2, 1.4, 5982232.73, 
115.172, 0, 1.21, 5982232.79, 
120.203, 0.4, 1.02, 5982232.82, 
125.218, 0.1, 0.73, 5982232.83, 
130.187, 0.1, 0.69, 5982232.83, 
135.203, -0.7, 0.37, 5982232.81, 
140.234, -0.3, 0.64, 5982232.84, 
145.25, 0, 0.7, 5982232.85, 
150.218, 0, 0.39, 5982232.82, 
155.265, 0, 0.3, 5982232.83, 
160.218, -0.4, 0.31, 5982232.83, 
165.25, 0.1, 0.68, 5982232.82, 
170.281, -0.4, 0.58, 5982232.81, 
175.218, -0.4, 0.53, 5982232.76, 
180.234, 0.3, 0.53, 5982232.81, 
185.265, 0.2, 0.92, 5982232.78, 
190.218, -0.2, 1.1, 5982232.81, 
195.218, 0.2, 1.41, 5982232.77, 
200.25, 0, 1.9, 5982232.72, 
205.281, 0.6, 2.12, 5982232.69, 
210.218, -0.1, 2.57, 5982232.66, 
215.25, -0.4, 3, 5982232.57, 
220.218, -0.8, 3.53, 5982232.55, 
225.234, 0.2, 4.29, 5982232.51, 
230.234, 0.5, 4.89, 5982232.48, 
235.297, 0.4, 5.55, 5982232.41, 
240.25, 0.5, 6.16, 5982232.34, 
245.265, 0.8, 7.02, 5982232.28, 
250.312, 0.5, 7.78, 5982232.21, 
255.281, -0.3, 8.52, 5982232.12, 
260.297, 0.6, 9.56, 5982232.09, 
265.328, 0.1, 10.58, 5982232, 
270.343, 0.2, 11.66, 5982231.91, 
275.312, 0.2, 12.67, 5982231.8, 
280.312, 0.4, 14.11, 5982231.67, 
285.343, 0.2, 15.28, 5982231.63, 
290.359, 0.1, 16.58, 5982231.42, 
295.312, 1.3, 18.1, 5982231.34, 
300.343, 0.2, 19.6, 5982231.25, 
305.375, 0.3, 21.22, 5982231.14, 
310.312, 0.3, 22.81, 5982231.01, 
315.312, -0.1, 24.37, 5982230.88, 
320.359, 0.7, 26.2, 5982230.72, 
325.328, 0.8, 28.13, 5982230.57, 
330.328, 1.1, 29.78, 5982230.46, 
335.343, 0.8, 31.76, 5982230.23, 
340.39, 0.4, 33.76, 5982230.1, 
345.343, 0.5, 35.79, 5982229.92, 
350.359, -0.1, 37.81, 5982229.79, 
355.375, 0.6, 40.09, 5982229.58, 
360.406, 0.1, 42.49, 5982229.37, 
365.359, 1, 44.78, 5982229.21, 
370.375, 0.2, 47.17, 5982229.03, 
375.406, 0.2, 49.62, 5982228.82, 
380.39, -0.3, 52.09, 5982228.59, 
385.422, 0.2, 54.64, 5982228.4, 
390.453, 0.5, 57.22, 5982228.21, 
395.406, 0.5, 59.89, 5982228, 
400.437, 0.5, 62.69, 5982227.77, 
405.468, 0.4, 64.88, 5982227.56, 
410.5, 0.5, 67.76, 5982227.33, 
415.437, 0, 70.49, 5982227.12, 
420.484, 1.5, 72.98, 5982226.92, 
425.437, 0.9, 75.77, 5982226.68, 
430.437, 0.3, 78.55, 5982226.43, 
435.437, 0.2, 81.35, 5982226.24, 
440.437, 0.2, 84.1, 5982225.99, 
445.437, 0.8, 86.97, 5982225.83, 
450.468, -0.1, 89.96, 5982225.51, 
455.5, 1.3, 93.05, 5982225.29, 
460.531, 0.6, 96.1, 5982225.04, 
465.468, 0.4, 99.02, 5982224.81, 
470.468, -0.2, 102.21, 5982224.58, 
475.515, 1.2, 105.49, 5982224.26, 
480.468, 0.4, 108.52, 5982224.05, 
485.515, 0.5, 111.83, 5982223.75, 
490.468, 0.8, 115.02, 5982223.53, 
495.468, 1, 118.39, 5982223.23, 
500.5, 0.2, 121.84, 5982222.94, 
505.468, 0.5, 125.13, 5982222.66, 
510.468, 0.9, 128.31, 5982222.46, 
515.5, 0.5, 131.65, 5982222.15, 
520.515, -0.2, 134.88, 5982221.88, 
525.468, 0.3, 138.13, 5982221.66, 
530.484, 1.3, 141.7, 5982221.35, 
535.515, 0.6, 145.08, 5982221.08, 
540.531, 0.7, 148.38, 5982220.84, 
545.5, 0.9, 151.92, 5982220.53, 
550.515, 0.3, 155.45, 5982220.2, 
555.515, 0.8, 158.88, 5982219.94, 
560.547, 1.2, 162.52, 5982219.7, 
565.515, 0.6, 165.89, 5982219.38, 
570.531, 0.9, 169.56, 5982219.09, 
575.531, 0.3, 173.17, 5982218.79, 
580.562, 0.5, 176.75, 5982218.47, 
585.593, 0.9, 180.55, 5982218.16, 
590.562, 0.4, 184.38, 5982217.91, 
595.578, 0.7, 188.01, 5982217.57, 
600.609, 0.9, 192.1, 5982217.29, 
605.562, 1.4, 195.81, 5982216.98, 
610.578, 0.9, 199.61, 5982216.66, 
615.609, 0.5, 203.68, 5982216.32, 
620.593, 1, 207.3, 5982216.03, 
625.609, 1.6, 211.45, 5982215.7, 
630.64, 0.5, 215.37, 5982215.34, 
635.593, 0.6, 219.28, 5982215.04, 
640.609, 0.7, 223.22, 5982214.74, 
645.64, 1.1, 227.29, 5982214.41, 
650.656, 0.5, 231.19, 5982214.08, 
655.703, 0.5, 235.23, 5982213.77, 
660.64, 0.5, 239.13, 5982213.41, 
665.672, 0.4, 243.11, 5982213.1, 
670.703, 0.7, 247.33, 5982212.76, 
675.64, 1.2, 251.18, 5982212.44, 
680.656, 0.3, 255.49, 5982212.11, 
685.672, 0.9, 259.73, 5982211.82, 
690.656, 1.2, 263.68, 5982211.47, 
695.672, 1.3, 267.79, 5982211.13, 
700.687, 0.9, 272.04, 5982210.81, 
705.703, 0.7, 276.22, 5982210.48, 
710.718, 1.1, 280.43, 5982210.13, 
715.765, 1.2, 284.5, 5982209.79, 
720.734, 0.9, 288.63, 5982209.42, 
725.75, 1, 292.95, 5982209.07, 
730.765, 0.9, 297.15, 5982208.78, 
735.781, 1.1, 301.41, 5982208.44, 
740.765, 0.7, 305.41, 5982208.1, 
745.781, 0.5, 309.69, 5982207.75, 
750.797, 1.1, 313.95, 5982207.41, 
755.828, 1.5, 318.09, 5982207.06, 
760.843, 0.7, 322.33, 5982206.73, 
765.812, 0.7, 326.72, 5982206.38, 
770.812, 0.9, 330.86, 5982206.07, 
775.859, 0.9, 335.26, 5982205.68, 
780.812, 0.3, 339.41, 5982205.35, 
785.828, 1.5, 343.72, 5982204.98, 
790.859, 0.2, 347.98, 5982204.64, 
795.875, 0.5, 352.21, 5982204.29, 
800.922, 0.7, 356.55, 5982203.94, 
805.875, 0, 360.82, 5982203.62, 
810.937, 1.1, 365.23, 5982203.26, 
815.89, 0.7, 369.37, 5982202.94, 
820.89, 1.2, 373.45, 5982202.62, 
825.922, 0.1, 377.67, 5982202.26, 
830.937, 0.5, 382.08, 5982201.89, 
835.922, 1.2, 386.4, 5982201.51, 
840.937, 1.3, 390.69, 5982201.15, 
845.953, 0.9, 395, 5982200.89, 
850.984, 1.2, 399.35, 5982200.51, 
855.937, 1.2, 403.64, 5982200.16, 
861, 0.7, 407.89, 5982199.8, 
866, 1.3, 412.17, 5982199.46, 
870.937, 0.7, 416.53, 5982199.06, 
875.937, 0.7, 420.54, 5982198.77, 
880.937, 0.5, 424.79, 5982198.41, 
885.968, 0.7, 429.49, 5982198.05, 
890.937, 0.9, 433.78, 5982197.7, 
895.968, 1, 438.03, 5982197.32, 
900.953, 0.7, 442.12, 5982197, 
905.968, 0.7, 446.52, 5982196.65, 
911, 0.6, 450.69, 5982196.32, 
915.968, 0.9, 455.04, 5982195.97, 
921, 1.3, 459.39, 5982195.61, 
925.968, 0.4, 463.45, 5982195.29, 
931, 0.4, 467.64, 5982195, 
936.015, 0.5, 472.04, 5982194.63, 
940.968, 0.7, 476.28, 5982194.26, 
945.968, 1.2, 480.64, 5982193.94, 
951, 0.6, 484.78, 5982193.59, 
955.968, 0.6, 489, 5982193.23, 
960.968, 0.9, 493.31, 5982192.86, 
965.984, 0.7, 497.6, 5982192.5, 
971.015, 1.5, 502.03, 5982192.16, 
975.968, 0.4, 506.03, 5982191.83, 
980.984, 1.1, 510.54, 5982191.5, 
986, 0.5, 514.83, 5982191.13, 
990.968, 0.8, 518.98, 5982190.81, 
995.984, 1.5, 523.03, 5982190.49, 
1001, 0.5, 527.41, 5982190.11, 
1006.031, 0.9, 531.94, 5982189.78, 
1011, 1.2, 536.12, 5982189.43, 
1016, 0.2, 540.14, 5982189.09, 
1021.015, 0.9, 544.45, 5982188.76, 
1026.015, 0.7, 548.84, 5982188.44, 
1031.031, 1.4, 553.21, 5982188.06, 
1036.093, 0.9, 557.39, 5982187.68, 
1041.047, 0.7, 561.72, 5982187.36, 
1046.062, 0.5, 565.99, 5982187.01, 
1051.078, 0.7, 570.22, 5982186.67, 
1056.062, 1.5, 574.14, 5982186.39, 
1061.078, 1.1, 578.35, 5982186.05, 
1066.109, 0.7, 582.38, 5982185.68, 
1071.078, 0.7, 586.32, 5982185.33, 
1076.093, 1.2, 590.49, 5982185.01, 
1081.109, 0.7, 594.44, 5982184.75, 
1086.14, 0.4, 598.35, 5982184.39, 
1091.172, 0.6, 602.23, 5982184.07, 
