Start Log	Run: 66	Date: 5/10/2024   Time: 11:58:37
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
690.875, 1, 264.38, 5982201.76, 
695.891, 0.1, 267.38, 5982201.6, 
700.906, 1, 270.54, 5982201.28, 
705.938, 1.3, 273.76, 5982201.07, 
710.984, 0.9, 276.88, 5982200.81, 
715.938, 0.1, 279.93, 5982200.57, 
720.969, 0.9, 283.15, 5982200.26, 
725.984, 0.6, 286.39, 5982199.98, 
730.969, 0.6, 289.34, 5982199.78, 
735.984, 0.9, 292.71, 5982199.5, 
741, 1.1, 295.68, 5982199.27, 
746, 0.5, 298.94, 5982199.02, 
751.016, 0.5, 302.14, 5982198.75, 
756.047, 0.4, 305.52, 5982198.47, 
761.078, 0.9, 308.43, 5982198.22, 
766.031, 0.7, 311.3, 5982198.03, 
771.047, 0.7, 314.56, 5982197.74, 
776.094, 0.2, 317.62, 5982197.52, 
781.031, 1.1, 320.87, 5982197.25, 
786.047, 0.5, 324.07, 5982197, 
791.063, 0.5, 326.9, 5982196.73, 
796.078, 0, 330.09, 5982196.47, 
801.109, 0.5, 333.61, 5982196.18, 
806.141, 0.9, 336.62, 5982195.98, 
811.156, 0.5, 339.99, 5982195.67, 
816.109, 0.7, 342.99, 5982195.45, 
821.125, 0.3, 346.42, 5982195.13, 
826.172, 1.1, 349.59, 5982194.91, 
831.109, 0.5, 352.78, 5982194.64, 
836.141, 0.8, 356.24, 5982194.41, 
841.156, 0.3, 359.39, 5982194.1, 
846.109, 0.6, 362.27, 5982193.87, 
851.156, 0.8, 365.18, 5982193.69, 
856.109, 0.6, 368.21, 5982193.41, 
861.125, 0.7, 371.19, 5982193.15, 
866.141, 1, 374.51, 5982192.89, 
871.141, 0.7, 377.48, 5982192.63, 
876.203, 0.6, 380.84, 5982192.38, 
881.156, 0.8, 383.93, 5982192.13, 
886.172, 0.4, 387.29, 5982191.87, 
891.172, 0.7, 390.2, 5982191.62, 
896.188, 1.3, 393.46, 5982191.35, 
901.203, 0.8, 396.82, 5982191.09, 
906.219, 0.2, 399.79, 5982190.84, 
911.25, 0.7, 402.79, 5982190.61, 
916.234, 1.2, 405.99, 5982190.39, 
921.234, 0.7, 409.12, 5982190.06, 
926.25, 0.5, 412.04, 5982189.84, 
931.281, 0.8, 415.49, 5982189.59, 
936.234, 1, 418.44, 5982189.32, 
941.281, 0.7, 421.37, 5982189.08, 
946.234, 0.9, 424.47, 5982188.88, 
951.281, 0.5, 426.88, 5982188.68, 
956.234, 0.7, 430.04, 5982188.4, 
961.25, 1.4, 433.41, 5982188.14, 
966.281, 0.5, 436.81, 5982187.85, 
971.266, 0.7, 439.85, 5982187.6, 
976.266, 1.2, 443.35, 5982187.34, 
981.266, 0.5, 446.1, 5982187.07, 
986.281, 0.5, 449.52, 5982186.8, 
991.281, 0.7, 452.75, 5982186.57, 
996.281, 1.1, 455.75, 5982186.29, 
1001.281, 0.5, 459.04, 5982186.04, 
1006.281, 0.5, 461.96, 5982185.81, 
1011.313, 0.9, 465.13, 5982185.56, 
1016.297, 0.6, 468.08, 5982185.3, 
1021.297, 1, 471.19, 5982185.06, 
1026.359, 0.3, 474.23, 5982184.84, 
1031.313, 0.1, 477.19, 5982184.6, 
1036.328, 1.2, 480.28, 5982184.32, 
1041.344, 0.6, 483.54, 5982184.06, 
1046.391, 0.5, 486.6, 5982183.81, 
1051.344, 0.8, 489.82, 5982183.59, 
1056.344, 0.3, 490.95, 5982183.51, 
1061.359, 0.5, 494.17, 5982183.21, 
1066.344, 0.8, 496.97, 5982182.96, 
1071.359, 0.5, 500.19, 5982182.73, 
1076.406, 0.4, 503.03, 5982182.48, 
1081.359, 0.2, 505.93, 5982182.28, 
1086.375, 0.9, 509.01, 5982181.99, 
1091.391, 0.7, 511.62, 5982181.8, 
1096.422, 0.5, 514.02, 5982181.62, 
1101.453, 0.7, 517.05, 5982181.38, 
1106.438, 0.7, 520.04, 5982181.15, 
1111.453, 1.1, 522.71, 5982180.89, 
1116.484, 0.6, 525.84, 5982180.62, 
1121.453, 0.9, 528.84, 5982180.41, 
1126.469, 0.3, 531.37, 5982180.2, 
1131.469, 0.5, 534.78, 5982179.92, 
1136.5, 0.3, 537.8, 5982179.69, 
1141.5, 1, 540.54, 5982179.46, 
1146.516, 0.7, 543.52, 5982179.23, 
1151.531, 0.2, 546.07, 5982179.01, 
1156.578, 0.7, 548.91, 5982178.76, 
1161.531, 0.4, 551.27, 5982178.59, 
1166.531, 1, 554.03, 5982178.35, 
1171.578, 0.5, 556.41, 5982178.18, 
1176.547, 0.2, 558.9, 5982177.99, 
1181.563, 0.7, 561.16, 5982177.78, 
1186.578, 0, 563.29, 5982177.63, 
1191.609, 0.2, 565.61, 5982177.44, 
1196.594, 0.2, 567.92, 5982177.27, 
1201.594, 0.7, 569.63, 5982177.16, 
1206.625, 0.1, 571.23, 5982177.01, 
1211.641, 0.2, 573.06, 5982176.79, 
1216.609, 0.2, 574.83, 5982176.7, 
1221.625, 0.9, 575.27, 5982176.67, 
1226.656, 0.7, 577.23, 5982176.55, 
1231.672, 0.7, 579.32, 5982176.32, 
1236.703, 0.6, 581.18, 5982176.19, 
1241.656, 0.5, 583.27, 5982176.01, 
1246.672, 0.5, 585.5, 5982175.82, 
1251.688, 1.2, 587.55, 5982175.65, 
1256.734, -0.1, 589.5, 5982175.49, 
1261.719, 0.5, 591.75, 5982175.33, 
1266.734, 0.2, 593.79, 5982175.17, 
1271.766, 0.8, 595.88, 5982174.98, 
1276.797, 1.1, 597.92, 5982174.82, 
1281.75, 0.5, 600, 5982174.62, 
1286.781, 0.5, 602.24, 5982174.47, 
1291.75, 0.3, 604.38, 5982174.32, 
1296.75, 0.5, 606.59, 5982174.13, 
1301.766, 1.3, 608.92, 5982173.98, 
1306.797, 0.5, 610.84, 5982173.81, 
1311.844, 0.1, 613.02, 5982173.62, 
1316.781, 0.1, 615.24, 5982173.44, 
1321.813, 0.6, 617.42, 5982173.26, 
1326.781, -0.2, 619.66, 5982173.1, 
1331.813, 0.2, 621.96, 5982172.91, 
1336.797, 0.7, 624.3, 5982172.7, 
1341.813, -0.3, 626.43, 5982172.53, 
1346.828, 0.8, 628.63, 5982172.34, 
1351.813, 0.4, 630.75, 5982172.15, 
1356.828, -0.1, 633.1, 5982172.03, 
1361.859, 0.3, 635.41, 5982171.86, 
1366.828, 0.5, 637.37, 5982171.62, 
1371.859, 0.7, 639.53, 5982171.45, 
1376.828, 1, 641.62, 5982171.3, 
1381.844, 0.2, 643.81, 5982171.11, 
1386.859, 0.1, 645.83, 5982170.92, 
1391.922, 0.6, 648.2, 5982170.78, 
1396.875, 0.6, 650.08, 5982170.58, 
1401.891, 0.7, 652.43, 5982170.38, 
1406.891, 1, 654.51, 5982170.29, 
1411.938, 1.3, 657.1, 5982170.04, 
1416.953, 1, 659.04, 5982169.84, 
1421.922, 0.7, 661.31, 5982169.74, 
1426.938, 0.4, 663.32, 5982169.53, 
1431.969, 0.6, 665.55, 5982169.38, 
1436.953, 0.5, 667.56, 5982169.15, 
1441.969, 0.2, 669.83, 5982169.02, 
1447, 0, 671.68, 5982168.81, 
1451.984, 0.7, 673.51, 5982168.69, 
1456.969, 0.9, 675.63, 5982168.54, 
1461.984, 0, 677.59, 5982168.4, 
1467.016, 0.1, 679.51, 5982168.23, 
1471.984, 0.5, 681.38, 5982168.08, 
1477.016, 0.5, 683.15, 5982167.93, 
1481.984, 0.5, 685.29, 5982167.78, 
1487.016, 0.7, 687.11, 5982167.66, 
1491.984, 0.3, 688.77, 5982167.49, 
1496.984, 0.2, 690.34, 5982167.36, 
1501.984, 0.7, 690.74, 5982167.28, 
1507, 0.2, 692.61, 5982167.18, 
1512.016, 0.7, 694.37, 5982166.99, 
1516.984, 0.2, 696.12, 5982166.86, 
1522, 0.2, 697.8, 5982166.77, 
1527.031, 0.2, 699.42, 5982166.6, 
1531.984, 0.7, 701.11, 5982166.47, 
1536.984, 0.2, 703.21, 5982166.29, 
1542, 0.9, 705.03, 5982166.18, 
1547.047, 0.4, 706.84, 5982166, 
1551.984, 0.4, 708.52, 5982165.85, 
1556.984, 0.8, 710.13, 5982165.75, 
1562.016, 0.8, 711.81, 5982165.59, 
1566.984, 1, 713.69, 5982165.47, 
1571.984, -0.4, 715.46, 5982165.31, 
1577, 1, 717.02, 5982165.19, 
1582.031, 0.9, 718.79, 5982165.03, 
1586.984, 0.5, 720.29, 5982164.93, 
1591.984, 1.1, 722.15, 5982164.77, 
1597.031, 0.6, 723.86, 5982164.64, 
1601.984, -0.8, 725.2, 5982164.59, 
1607, 0.9, 726.7, 5982164.39, 
1612.016, 1.1, 728.41, 5982164.26, 
1617.031, 0.3, 730.02, 5982164.13, 
1622, -0.1, 731.53, 5982164.01, 
1627, 0.2, 733.19, 5982163.89, 
1632.016, 0.3, 734.69, 5982163.78, 
1637.047, 0.8, 736.39, 5982163.63, 
1642.016, 0.5, 737.95, 5982163.5, 
1647.031, -0.3, 739.63, 5982163.41, 
1652.078, 0.5, 741.22, 5982163.26, 
1657.047, 0.1, 742.86, 5982163.11, 
1662.063, 0, 744.5, 5982162.98, 
1667.109, 0.3, 746.14, 5982162.81, 
1672.063, -1.2, 747.2, 5982162.85, 
1677.094, 0.3, 749.26, 5982162.6, 
1682.109, 1.2, 750.71, 5982162.52, 
1687.078, 0, 751.96, 5982162.36, 
1692.125, 0.7, 753.36, 5982162.28, 
1697.078, 0.7, 754.99, 5982162.18, 
1702.094, 1.5, 756.48, 5982162.03, 
