Start Log	Run: 63	Date: 5/1/2024   Time: 7:09:45
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
5.016, -0.4, -0.17, 5982219.82, 
10.047, 0.1, 0.17, 5982219.82, 
15.016, 0.5, 0.47, 5982219.8, 
20.031, 0.5, 0.74, 5982219.75, 
25.047, -0.3, 0.91, 5982219.74, 
30.078, -0.2, 1.09, 5982219.71, 
35.047, 0.2, 1.21, 5982219.7, 
40.094, 0.2, 1.45, 5982219.72, 
45.047, 0, 1.49, 5982219.7, 
50.063, 0.3, 1.35, 5982219.69, 
55.094, 0.1, 1.36, 5982219.73, 
60.266, 0.2, 1.23, 5982219.72, 
65.094, 0.2, 1.06, 5982219.76, 
70.094, 0, 1.05, 5982219.76, 
75.188, -0.2, 0.82, 5982219.78, 
80.125, -0.5, 0.55, 5982219.82, 
85.141, 0, 0.28, 5982219.8, 
90.125, -0.2, -0.04, 5982219.82, 
95.125, 0, -0.32, 5982219.86, 
100.141, -0.3, -0.92, 5982219.9, 
105.156, -0.2, -1.28, 5982219.93, 
110.188, -0.5, -1.68, 5982219.96, 
115.156, -0.5, -2.12, 5982219.99, 
120.172, -0.3, -2.44, 5982220.03, 
125.203, 0, -2.84, 5982220.05, 
130.219, 0.3, -3.12, 5982220.08, 
135.266, 0.2, -3.49, 5982220.12, 
140.203, -0.2, -3.74, 5982220.1, 
145.203, -0.4, -3.99, 5982220.15, 
150.266, -0.5, -4.2, 5982220.17, 
155.219, -0.6, -4.32, 5982220.17, 
160.281, 0.1, -4.47, 5982220.2, 
165.234, -0.5, -4.67, 5982220.2, 
170.25, 0, -4.73, 5982220.22, 
175.266, -0.4, -4.74, 5982220.18, 
180.297, -0.7, -4.85, 5982220.22, 
185.266, 0, -4.78, 5982220.21, 
190.281, 0.2, -4.56, 5982220.16, 
195.313, -0.3, -4.49, 5982220.18, 
200.281, 0.1, -4.42, 5982220.14, 
205.297, -0.2, -4.03, 5982220.17, 
210.281, 0.1, -4.02, 5982220.15, 
215.281, 0.2, -3.54, 5982220.09, 
220.313, 0.2, -3.22, 5982220.09, 
225.328, -0.2, -2.75, 5982220.05, 
230.297, 0.8, -2.33, 5982220.03, 
235.313, 0.2, -1.72, 5982219.98, 
240.344, 0.7, -1.07, 5982219.93, 
245.375, 0.2, -0.41, 5982219.82, 
250.406, 0.2, 0.36, 5982219.8, 
255.359, -0.6, 1.02, 5982219.75, 
260.375, 0.2, 2.11, 5982219.63, 
265.375, 0.5, 2.92, 5982219.57, 
270.422, 0.3, 4.09, 5982219.45, 
275.391, 0.5, 5.2, 5982219.4, 
280.391, 0.2, 6.25, 5982219.28, 
285.391, 0, 7.67, 5982219.21, 
290.422, -0.2, 8.86, 5982219.06, 
295.438, 0.6, 10.34, 5982218.96, 
300.406, 0.2, 11.77, 5982218.83, 
305.422, -0.2, 13.37, 5982218.73, 
310.422, 0.7, 14.96, 5982218.6, 
315.422, 0.5, 16.44, 5982218.47, 
320.438, 0.5, 18.23, 5982218.35, 
325.453, 0.7, 20.06, 5982218.18, 
330.469, 0.7, 21.91, 5982218.03, 
335.5, 0.2, 23.82, 5982217.88, 
340.469, 0.5, 25.42, 5982217.74, 
345.469, 0.8, 27.59, 5982217.57, 
350.5, 0, 29.47, 5982217.44, 
355.469, 0.2, 31.44, 5982217.24, 
360.469, -0.1, 33.63, 5982217.05, 
365.484, 1, 35.63, 5982216.93, 
370.5, 0.2, 37.98, 5982216.71, 
375.516, -0.1, 40.13, 5982216.56, 
380.563, 0.5, 42.43, 5982216.32, 
385.594, 0.1, 44.9, 5982216.14, 
390.531, 0.2, 47.34, 5982215.94, 
395.547, 0.9, 49.78, 5982215.73, 
400.578, 0.5, 52.42, 5982215.56, 
405.547, 0.5, 54.85, 5982215.34, 
410.547, 0, 57.49, 5982215.15, 
415.594, 0.7, 60.21, 5982214.93, 
420.547, 0.5, 62.93, 5982214.71, 
425.563, 0.4, 65.63, 5982214.49, 
430.594, 0.2, 68.43, 5982214.26, 
435.594, 0.2, 71.11, 5982214.03, 
440.594, 0.4, 73.98, 5982213.78, 
445.641, 0.3, 76.78, 5982213.57, 
450.641, 0.2, 79.72, 5982213.32, 
455.594, 0.8, 82.48, 5982213.1, 
460.609, 0.5, 85.38, 5982212.88, 
465.625, 1.1, 88.31, 5982212.64, 
470.625, 1.6, 91.46, 5982212.36, 
475.641, 1.2, 94.39, 5982212.13, 
480.672, 0.9, 97.6, 5982211.91, 
485.703, 0.7, 100.56, 5982211.67, 
490.656, 0.2, 103.57, 5982211.41, 
495.703, -0.1, 106.74, 5982211.17, 
500.688, 0.5, 109.65, 5982210.9, 
505.719, 0.7, 112.72, 5982210.7, 
510.672, 0.2, 115.73, 5982210.4, 
515.688, 0.4, 118.81, 5982210.16, 
520.703, 1.2, 122.25, 5982209.9, 
525.719, 0.4, 125.39, 5982209.64, 
530.719, 1, 128.67, 5982209.39, 
535.719, 0.7, 131.87, 5982209.1, 
540.734, 0.2, 135.04, 5982208.84, 
545.766, 0.7, 138.47, 5982208.59, 
550.781, 0.7, 141.77, 5982208.31, 
555.734, 0.5, 145.18, 5982208.06, 
560.75, 0.5, 148.39, 5982207.73, 
565.781, 1, 151.49, 5982207.52, 
570.75, 0.2, 154.95, 5982207.26, 
575.766, 0.5, 158.42, 5982206.95, 
580.781, 0.2, 161.87, 5982206.67, 
585.797, 0, 165.29, 5982206.38, 
590.844, 0.6, 168.94, 5982206.12, 
595.797, 0.6, 172.51, 5982205.79, 
600.828, 0.5, 176.27, 5982205.53, 
605.859, 1.1, 179.93, 5982205.18, 
610.875, 0.7, 183.54, 5982204.9, 
615.844, 0.5, 187.15, 5982204.64, 
620.844, 0.1, 190.62, 5982204.39, 
625.875, 0.2, 194.27, 5982204.07, 
630.844, 0.6, 198.08, 5982203.8, 
635.859, 0.5, 201.93, 5982203.44, 
640.891, 0.4, 205.82, 5982203.08, 
645.906, 0.7, 209.65, 5982202.8, 
650.875, 0.9, 213.57, 5982202.45, 
655.891, 0.6, 217.61, 5982202.14, 
660.922, 0.5, 221.41, 5982201.85, 
665.906, 0.5, 225.39, 5982201.48, 
670.953, 0.9, 229.33, 5982201.19, 
675.906, 0.8, 233.44, 5982200.87, 
680.906, 1.3, 237.4, 5982200.55, 
685.922, 0.5, 241.4, 5982200.23, 
690.922, 0.1, 245.42, 5982199.93, 
695.938, 1, 249.42, 5982199.59, 
700.969, 0.5, 253.55, 5982199.25, 
705.938, 0.8, 257.68, 5982198.94, 
710.938, 0.9, 261.77, 5982198.58, 
715.969, 0.7, 265.61, 5982198.24, 
721.016, 0.9, 269.7, 5982197.95, 
725.969, 0.9, 273.76, 5982197.61, 
730.969, 0.9, 277.81, 5982197.27, 
735.984, 0.7, 281.99, 5982196.99, 
740.984, 1.2, 286.11, 5982196.59, 
746.016, 0.7, 290.13, 5982196.3, 
751, 0.9, 294.25, 5982195.95, 
756, 0.3, 298.29, 5982195.64, 
