Logging for SGP30
2024-05-01 07:06:26 Raw H2 11357 	Raw Ethanol 20427
2024-05-01 07:06:28 Raw H2 11355 	Raw Ethanol 20384
2024-05-01 07:06:29 Raw H2 11345 	Raw Ethanol 20454
2024-05-01 07:06:30 Raw H2 11353 	Raw Ethanol 20424
2024-05-01 07:06:31 Raw H2 11354 	Raw Ethanol 20400
2024-05-01 07:06:32 Raw H2 11350 	Raw Ethanol 20433
2024-05-01 07:06:33 Raw H2 11364 	Raw Ethanol 20427
2024-05-01 07:06:34 Raw H2 11359 	Raw Ethanol 20413
2024-05-01 07:06:35 Raw H2 11350 	Raw Ethanol 20407
2024-05-01 07:06:36 Raw H2 11357 	Raw Ethanol 20385
2024-05-01 07:06:37 Raw H2 11357 	Raw Ethanol 20445
2024-05-01 07:06:38 Raw H2 11350 	Raw Ethanol 20431
2024-05-01 07:06:39 Raw H2 11361 	Raw Ethanol 20424
2024-05-01 07:06:40 Raw H2 11350 	Raw Ethanol 20467
2024-05-01 07:06:41 Raw H2 11367 	Raw Ethanol 20445
2024-05-01 07:06:42 Raw H2 11352 	Raw Ethanol 20433
2024-05-01 07:06:43 Raw H2 11359 	Raw Ethanol 20457
2024-05-01 07:06:44 Raw H2 11360 	Raw Ethanol 20444
2024-05-01 07:06:45 Raw H2 11353 	Raw Ethanol 20407
2024-05-01 07:06:46 Raw H2 11365 	Raw Ethanol 20427
2024-05-01 07:06:47 Raw H2 11356 	Raw Ethanol 20453
2024-05-01 07:06:49 Raw H2 11356 	Raw Ethanol 20440
2024-05-01 07:06:50 Raw H2 11366 	Raw Ethanol 20457
2024-05-01 07:06:51 Raw H2 11356 	Raw Ethanol 20431
2024-05-01 07:06:52 Raw H2 11357 	Raw Ethanol 20414
2024-05-01 07:06:53 Raw H2 11364 	Raw Ethanol 20436
2024-05-01 07:06:54 Raw H2 11360 	Raw Ethanol 20463
2024-05-01 07:06:55 Raw H2 11364 	Raw Ethanol 20409
2024-05-01 07:06:56 Raw H2 11363 	Raw Ethanol 20431
2024-05-01 07:06:57 Raw H2 11360 	Raw Ethanol 20416
