Start Log	Run: 62	Date: 5/2/2024   Time: 7:20:05
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
5.016, -0.3, 0, 5982210.8, 
10, 0.1, 0.23, 5982210.78, 
15.016, -0.1, 0.56, 5982210.78, 
20.047, 0, 0.8, 5982210.76, 
25.031, 0, 1.04, 5982210.74, 
30.031, 0.3, 1.36, 5982210.71, 
35.063, 0.2, 1.74, 5982210.66, 
40.031, 0.2, 2.11, 5982210.66, 
45.031, -0.3, 2.1, 5982210.65, 
50.063, -0.4, 2.24, 5982210.65, 
55.109, 0.5, 2.35, 5982210.62, 
60.203, 0.1, 2.43, 5982210.64, 
65.078, 0.2, 2.56, 5982210.62, 
70.094, -0.5, 2.48, 5982210.62, 
75.188, -0.5, 2.43, 5982210.62, 
80.094, 0.2, 2.5, 5982210.61, 
85.109, -0.1, 2.45, 5982210.62, 
90.156, 0.2, 2.43, 5982210.65, 
95.156, 0.5, 2.27, 5982210.63, 
100.125, -0.2, 2.38, 5982210.64, 
105.156, -0.3, 2.16, 5982210.62, 
110.156, 0.1, 2.02, 5982210.66, 
115.125, 0.1, 1.89, 5982210.68, 
120.203, -0.6, 1.67, 5982210.68, 
125.203, -0.2, 1.45, 5982210.7, 
130.156, 0.1, 1.36, 5982210.72, 
135.156, 0, 1.28, 5982210.72, 
140.172, -0.2, 1.09, 5982210.73, 
145.203, 0.2, 0.98, 5982210.77, 
150.172, 0, 1.09, 5982210.7, 
155.188, -0.6, 0.98, 5982210.71, 
160.219, 0, 1.05, 5982210.73, 
165.25, 0.2, 0.93, 5982210.74, 
170.219, 0.9, 0.99, 5982210.67, 
175.219, 0, 1, 5982210.75, 
180.234, 0, 1.11, 5982210.75, 
185.281, -0.5, 1.22, 5982210.71, 
190.234, 0.2, 1.51, 5982210.69, 
195.266, 0.2, 1.88, 5982210.66, 
200.281, -0.2, 2.09, 5982210.65, 
205.234, -0.5, 2.49, 5982210.61, 
210.234, 0.1, 2.77, 5982210.59, 
215.281, 0, 3.33, 5982210.49, 
220.234, -0.6, 3.87, 5982210.5, 
225.25, 0.7, 4.5, 5982210.45, 
230.25, -0.3, 5.18, 5982210.39, 
235.266, 1.1, 5.79, 5982210.34, 
240.297, 0.4, 6.5, 5982210.25, 
245.328, 0.6, 7.39, 5982210.23, 
250.281, 0.6, 8.16, 5982210.15, 
255.313, 0.2, 9.22, 5982210.04, 
260.281, 0.8, 10.31, 5982209.98, 
265.281, 0.6, 11.36, 5982209.91, 
270.313, 0.4, 12.29, 5982209.78, 
275.281, 0.4, 13.41, 5982209.74, 
280.281, 0.5, 14.66, 5982209.62, 
285.313, 0.3, 15.98, 5982209.5, 
290.328, 0.1, 17.14, 5982209.41, 
295.281, 0.1, 18.27, 5982209.32, 
300.328, 0.7, 19.84, 5982209.2, 
305.281, 1, 21.24, 5982209.09, 
310.281, 0, 22.57, 5982208.97, 
315.297, 0.3, 24.16, 5982208.84, 
320.328, 0.2, 25.79, 5982208.72, 
325.281, -0.2, 27.35, 5982208.55, 
330.328, -0.1, 29.15, 5982208.44, 
335.281, 0.2, 30.87, 5982208.32, 
340.297, 0.7, 32.63, 5982208.13, 
345.313, 0, 34.45, 5982208, 
350.344, 0.2, 36.33, 5982207.83, 
355.313, 0.5, 38.41, 5982207.68, 
360.328, 0, 40.45, 5982207.52, 
365.359, 0.3, 42.52, 5982207.33, 
370.391, 0.2, 44.77, 5982207.14, 
375.359, 0.7, 46.91, 5982206.95, 
380.359, 0.4, 49.21, 5982206.8, 
385.391, 0, 51.44, 5982206.62, 
390.406, 0.2, 53.91, 5982206.4, 
395.375, 0.4, 56.41, 5982206.21, 
400.375, 0.1, 58.91, 5982206.06, 
405.406, 0.2, 61.56, 5982205.79, 
410.438, -0.3, 64.2, 5982205.58, 
415.406, 0.8, 67.05, 5982205.38, 
420.422, 0.6, 69.75, 5982205.13, 
425.453, 0, 72.26, 5982204.93, 
430.422, 0.9, 75.01, 5982204.75, 
435.438, 0.9, 77.88, 5982204.45, 
440.453, -0.1, 80.47, 5982204.29, 
445.484, 0.8, 83.53, 5982204.03, 
450.531, 0.7, 86.31, 5982203.78, 
455.484, 0.9, 89.31, 5982203.52, 
460.5, 0, 92.11, 5982203.32, 
465.547, 0.9, 95, 5982203.06, 
470.516, 0.4, 98.11, 5982202.86, 
475.516, 0.9, 101.12, 5982202.6, 
480.531, -0.1, 104.05, 5982202.34, 
485.563, 0.6, 107.2, 5982202.11, 
490.594, 0.9, 110.58, 5982201.86, 
495.563, 0.9, 113.76, 5982201.55, 
500.578, 1.3, 116.99, 5982201.34, 
505.578, 1, 120.34, 5982201.03, 
510.625, 0.5, 123.29, 5982200.81, 
515.578, 1, 126.61, 5982200.5, 
520.594, 0.7, 129.82, 5982200.27, 
525.594, 0.4, 133.13, 5982199.99, 
530.594, 0.9, 136.42, 5982199.74, 
535.625, 1.2, 139.8, 5982199.45, 
540.656, 1.1, 143.26, 5982199.19, 
545.609, 0.5, 146.47, 5982198.89, 
550.609, 1.2, 149.99, 5982198.62, 
555.656, 0.2, 153.45, 5982198.32, 
560.688, 0.9, 156.95, 5982198.05, 
565.656, 0.7, 160.31, 5982197.79, 
570.656, 0.7, 163.79, 5982197.52, 
575.672, 0.6, 167.53, 5982197.19, 
580.703, 1, 171.23, 5982196.94, 
585.672, 0.7, 174.66, 5982196.64, 
590.688, 1.1, 178.23, 5982196.32, 
595.703, 1.3, 181.77, 5982196.1, 
600.75, 0.5, 185.47, 5982195.77, 
605.703, 0.8, 189.11, 5982195.54, 
610.703, 0.9, 192.69, 5982195.16, 
615.703, 0.7, 196.52, 5982194.87, 
620.734, 1, 200.17, 5982194.57, 
625.766, 0.2, 204.03, 5982194.24, 
630.734, 0.8, 207.76, 5982193.96, 
635.781, 0.7, 211.66, 5982193.6, 
640.75, 0.4, 215.43, 5982193.33, 
645.766, 0.5, 219.1, 5982192.99, 
650.781, 0.5, 223.29, 5982192.73, 
655.844, 0.8, 227.06, 5982192.4, 
660.797, 0.4, 230.89, 5982192.12, 
665.813, 0.6, 234.62, 5982191.79, 
670.844, 0.5, 238.67, 5982191.43, 
675.828, 0.8, 242.49, 5982191.12, 
680.844, 0.9, 246.4, 5982190.84, 
685.859, 1.2, 250.33, 5982190.49, 
690.891, 0.2, 254.35, 5982190.19, 
695.859, 0.5, 258.22, 5982189.89, 
700.859, 0.4, 262.18, 5982189.55, 
705.875, 1.3, 266.28, 5982189.22, 
710.859, 0, 270.24, 5982188.9, 
715.859, 0.7, 274.31, 5982188.59, 
720.906, 0, 278.48, 5982188.25, 
725.859, 0, 282.49, 5982187.91, 
730.859, 1.1, 286.78, 5982187.56, 
735.922, 0.2, 290.53, 5982187.24, 
740.859, 0.4, 294.69, 5982186.96, 
745.891, 1, 298.93, 5982186.59, 
750.922, 0.5, 303.11, 5982186.25, 
755.906, 1.2, 307.05, 5982185.93, 
760.906, 0.9, 311.31, 5982185.55, 
765.938, 1.7, 315.49, 5982185.24, 
770.906, 1.6, 319.65, 5982184.9, 
775.922, 0.5, 323.82, 5982184.55, 
780.969, 1.2, 327.89, 5982184.22, 
785.922, 1, 331.96, 5982183.89, 
790.922, 0.2, 336.27, 5982183.56, 
795.953, 1.5, 340.61, 5982183.19, 
800.938, 0.9, 344.71, 5982182.87, 
805.953, 0.7, 348.82, 5982182.54, 
811.016, 0.1, 353.25, 5982182.16, 
815.969, 0.9, 357.3, 5982181.8, 
820.969, 0.4, 361.64, 5982181.53, 
826.016, 0.6, 365.95, 5982181.18, 
831.047, 0.9, 370.24, 5982180.79, 
835.984, 1.1, 374.47, 5982180.43, 
841.016, 0.5, 378.88, 5982180.11, 
846.047, 0.9, 383.13, 5982179.77, 
850.984, 0.3, 387.37, 5982179.4, 
855.984, 1, 391.82, 5982179.08, 
861.031, 0.7, 396.01, 5982178.7, 
865.984, 1.1, 400.05, 5982178.36, 
870.984, 0.2, 404.76, 5982177.99, 
876.016, 0.7, 408.81, 5982177.69, 
881, 1.1, 413.08, 5982177.31, 
886.016, 0.7, 417.46, 5982176.96, 
891.031, 1.2, 422, 5982176.62, 
896, 1.1, 426.2, 5982176.29, 
901.016, 1.6, 430.4, 5982175.94, 
906.031, 0.6, 434.82, 5982175.58, 
911.063, 0.9, 439.26, 5982175.22, 
916.094, 0.6, 443.61, 5982174.88, 
921.031, 0.7, 447.86, 5982174.51, 
926.078, 0.3, 452.2, 5982174.15, 
931.047, 1.5, 456.68, 5982173.81, 
936.063, 0.6, 460.92, 5982173.45, 
941.078, 0.9, 465.25, 5982173.12, 
946.125, 0.5, 469.5, 5982172.8, 
951.094, 1, 473.87, 5982172.4, 
956.094, 0.4, 478.14, 5982172.06, 
961.109, 0.7, 482.4, 5982171.71, 
966.141, 0.8, 486.8, 5982171.39, 
971.172, 0.7, 490.89, 5982171.05, 
976.141, 0.7, 495.24, 5982170.68, 
981.141, 1.4, 499.44, 5982170.32, 
986.188, 0.3, 503.89, 5982169.95, 
991.203, 0.7, 508.18, 5982169.6, 
996.156, 1.4, 512.22, 5982169.3, 
1001.203, 0.7, 516.64, 5982168.96, 
1006.156, 0.9, 520.78, 5982168.63, 
1011.172, 1.2, 524.86, 5982168.27, 
1016.172, 0.5, 528.91, 5982167.93, 
1021.188, 0.7, 533.5, 5982167.6, 
1026.203, 0.5, 537.54, 5982167.24, 
1031.203, 1.2, 541.78, 5982166.92, 
1036.25, 1, 546.09, 5982166.57, 
1041.281, 1.2, 550.27, 5982166.26, 
1046.234, 0.9, 554.31, 5982165.89, 
1051.266, 0.1, 558.52, 5982165.53, 
1056.234, 1, 562.63, 5982165.24, 
1061.25, 0.6, 566.93, 5982164.85, 
1066.266, 1.2, 571.05, 5982164.53, 
1071.313, 0.4, 575.24, 5982164.2, 
1076.266, 1.5, 579.28, 5982163.92, 
1081.297, 0.4, 583.34, 5982163.55, 
1086.328, 1.4, 587.67, 5982163.23, 
1091.344, 0.4, 591.77, 5982162.92, 
1096.328, 0.7, 595.81, 5982162.56, 
1101.344, 0.4, 599.6, 5982162.2, 
1106.359, 0.6, 603.47, 5982161.88, 
1111.391, 0.7, 607.59, 5982161.55, 
1116.359, 0.6, 611.25, 5982161.29, 
1121.391, 0.9, 614.88, 5982161.02, 
1126.359, 0.9, 618.34, 5982160.75, 
1131.406, 0.5, 621.83, 5982160.43, 
1136.359, 1, 625.13, 5982160.2, 
1141.375, 0.5, 628.4, 5982159.94, 
1146.406, 1, 631.65, 5982159.65, 
1151.422, 0.3, 634.69, 5982159.42, 
1156.453, 0.6, 637.73, 5982159.15, 
1161.406, 0.9, 640.73, 5982158.93, 
1166.438, 1, 643.62, 5982158.72, 
1171.406, 0.7, 646.59, 5982158.47, 
1176.406, 0.9, 649.43, 5982158.24, 
1181.406, 0.5, 652.23, 5982157.98, 
1186.422, 0.7, 655.09, 5982157.77, 
1191.438, 0.5, 657.77, 5982157.54, 
1196.469, 0.7, 660.95, 5982157.31, 
1201.422, 0.7, 663.58, 5982157.06, 
1206.438, 0.7, 666.58, 5982156.83, 
1211.469, 1, 669.72, 5982156.58, 
1216.5, 1.4, 672.67, 5982156.32, 
1221.469, 0.7, 675.55, 5982156.11, 
1226.484, 0.5, 678.45, 5982155.88, 
1231.531, 0.2, 681.42, 5982155.63, 
1236.563, -0.3, 684.3, 5982155.38, 
1241.516, 0.7, 687.37, 5982155.16, 
1246.516, 1.1, 690.33, 5982154.88, 
1251.547, 0.5, 693.32, 5982154.63, 
1256.578, 0.1, 696.26, 5982154.41, 
1261.531, 1, 699.3, 5982154.17, 
1266.547, 0.1, 702.25, 5982153.94, 
1271.578, 0.4, 705.26, 5982153.69, 
1276.578, 0.9, 708.11, 5982153.5, 
1281.625, -0.1, 711.08, 5982153.23, 
1286.578, 0.6, 713.94, 5982153, 
1291.578, 0.4, 716.76, 5982152.78, 
1296.609, -0.1, 719.63, 5982152.52, 
1301.594, 0.6, 722.57, 5982152.28, 
1306.594, 0.3, 725.5, 5982152.09, 
1311.625, 0.3, 728.36, 5982151.82, 
1316.594, 1, 731.24, 5982151.63, 
1321.609, 0.5, 734.19, 5982151.36, 
1326.641, 1.2, 736.69, 5982151.12, 
1331.609, 1.1, 739.71, 5982150.89, 
1336.625, 0.6, 742.49, 5982150.69, 
1341.656, 0.5, 745.21, 5982150.49, 
1346.625, 0.2, 747.9, 5982150.27, 
1351.641, 0, 750.79, 5982150.02, 
1356.656, 0.3, 753.42, 5982149.8, 
1361.672, 0.6, 756.25, 5982149.58, 
1366.703, 0.6, 758.88, 5982149.4, 
1371.656, 0.5, 761.34, 5982149.16, 
1376.656, 0.6, 764.04, 5982148.95, 
1381.688, 0.7, 766.54, 5982148.75, 
1386.656, 0.7, 769.14, 5982148.54, 
1391.656, 0.7, 771.71, 5982148.35, 
1396.688, 0.9, 774.31, 5982148.12, 
1401.719, 0.2, 776.94, 5982147.91, 
1406.688, 0.5, 779.01, 5982147.74, 
1411.719, 1, 781.95, 5982147.51, 
1416.75, 0.9, 784.13, 5982147.34, 
1421.703, 0.4, 786.85, 5982147.13, 
1426.719, 0.4, 789.03, 5982146.92, 
1431.734, 0.7, 791.57, 5982146.71, 
